meannh,cum.prob
1694.11265044668,0.001
1960.09328304896,0.002
2011.82612075253,0.003
2090.25472904624,0.004
2172.78356226022,0.005
2207.93661377366,0.006
2278.57354631604,0.007
2310.93412560345,0.008
2348.93859771365,0.009
2390.3553182434,0.01
2413.70458153315,0.011
2453.74186465377,0.012
2482.49134683834,0.013
2511.37543217637,0.014
2532.44296408717,0.015
2553.70313432276,0.016
2575.8176743693,0.017
2607.85927472577,0.018
2615.50593429518,0.019
2637.08633715053,0.02
2655.24356152103,0.021
2688.15785013133,0.022
2695.25278582692,0.023
2715.83284685314,0.024
2737.64350113866,0.025
2750.45648665575,0.026
2767.45436307425,0.027
2783.91232961161,0.028
2806.4425302548,0.029
2822.5699444243,0.03
2837.32120978202,0.031
2849.9221974373,0.032
2859.83881587893,0.033
2881.33311922647,0.034
2895.72462419067,0.035
2903.38905681044,0.036
2930.11876127757,0.037
2935.46653583979,0.038
2945.41849714306,0.039
2963.08490309517,0.04
2982.26690901975,0.041
2986.09617191917,0.042
2999.5266550259,0.043
3018.2923403741,0.044
3029.84760726121,0.045
3037.71864053408,0.046
3055.59805247007,0.047
3061.1675104003,0.048
3081.89468537012,0.049
3085.11786636557,0.05
3100.39654127269,0.051
3111.12801731093,0.052
3128.37951396057,0.053
3135.22116381508,0.054
3151.04538745622,0.055
3163.11195770305,0.056
3165.76428489281,0.057
3181.48209830956,0.058
3192.59440102677,0.059
3207.6167067838,0.06
3218.0646060907,0.061
3220.78169864478,0.062
3230.80373406959,0.063
3245.08187105187,0.064
3257.00018664534,0.065
3267.69310119486,0.066
3274.50854855176,0.067
3283.45303943792,0.068
3295.26727920846,0.069
3309.10079418783,0.07
3316.56820710847,0.071
3321.47777374126,0.072
3330.73478195917,0.073
3348.0702927658,0.074
3350.55271174488,0.075
3363.64219204408,0.076
3373.06090987248,0.077
3382.74453927219,0.078
3395.46591102139,0.079
3402.62535975151,0.08
3411.21232553478,0.081
3421.12394840916,0.082
3427.21435163433,0.083
3439.44407188109,0.084
3451.19956495191,0.085
3458.01296934129,0.086
3463.13810840184,0.087
3476.47262424388,0.088
3485.39536532665,0.089
3489.72683447782,0.09
3501.26136018793,0.091
3510.4310531168,0.092
3519.04438696601,0.093
3532.06854319483,0.094
3540.32499654161,0.095
3545.85547388233,0.096
3551.75583035319,0.097
3559.96477464167,0.098
3572.13061299439,0.099
3579.68050739712,0.1
3588.77621803897,0.101
3595.20762010303,0.102
3608.24776144955,0.103
3613.30116267308,0.104
3618.56946692457,0.105
3630.94247517941,0.106
3639.9537626431,0.107
3647.87974150741,0.108
3655.49968842921,0.109
3662.70919069501,0.11
3668.20408292123,0.111
3676.53678726536,0.112
3690.65372717461,0.113
3697.64548198269,0.114
3699.91550420283,0.115
3712.56013851193,0.116
3722.31308143157,0.117
3723.16352161501,0.118
3734.61980632699,0.119
3740.75267622926,0.12
3748.96582065312,0.121
3755.96439678903,0.122
3766.74304690037,0.123
3776.50556433413,0.124
3783.75633268161,0.125
3790.75044015735,0.126
3797.50191344475,0.127
3807.77258908679,0.128
3812.10677697475,0.129
3817.16666070928,0.13
3825.38796831289,0.131
3832.95718942875,0.132
3846.48602920571,0.133
3850.78718529507,0.134
3858.64882803132,0.135
3868.74960841493,0.136
3870.78427474761,0.137
3882.12520590318,0.138
3887.11721913529,0.139
3899.33384256634,0.14
3905.0223507133,0.141
3911.75371950995,0.142
3915.08026318639,0.143
3924.69146210976,0.144
3931.45477123876,0.145
3938.66042556616,0.146
3944.12248868875,0.147
3952.90860105123,0.148
3959.9331800352,0.149
3969.12708781344,0.15
3976.36672006286,0.151
3982.22161176986,0.152
3991.92803478255,0.153
4002.23166290687,0.154
4002.86102596381,0.155
4011.38884645551,0.156
4020.87908796175,0.157
4024.67649210997,0.158
4035.33520912792,0.159
4041.96715219673,0.16
4052.6240120074,0.161
4055.2631925939,0.162
4065.58954460614,0.163
4071.48596139493,0.164
4080.64817811458,0.165
4087.80441245231,0.166
4088.74105300046,0.167
4102.86861022367,0.168
4104.13770550121,0.169
4110.87576417335,0.17
4123.85163351665,0.171
4124.98416153978,0.172
4133.5806883026,0.173
4140.44493233369,0.174
4147.67871907164,0.175
4158.80423411745,0.176
4162.20746520183,0.177
4166.79194061684,0.178
4174.85937490392,0.179
4181.7331729315,0.18
4189.75321738206,0.181
4197.87546804061,0.182
4205.93417969526,0.183
4213.16607082044,0.184
4216.6942708694,0.185
4224.38341818144,0.186
4231.40984076575,0.187
4238.65821098384,0.188
4248.1077374038,0.189
4251.9324202016,0.19
4260.07381225849,0.191
4269.39936760559,0.192
4271.36501952213,0.193
4279.74045881417,0.194
4284.93912379594,0.195
4296.26709412584,0.196
4301.20433054661,0.197
4305.5570116682,0.198
4312.45777228665,0.199
4323.63472158794,0.2
4328.65148511516,0.201
4332.69724116633,0.202
4339.30751029387,0.203
4346.14846203592,0.204
4356.95591459319,0.205
4361.08710510153,0.206
4370.83217883054,0.207
4375.83119801138,0.208
4380.01068241367,0.209
4387.92021415327,0.21
4397.49977885666,0.211
4403.44918412178,0.212
4411.36998779734,0.213
4414.58707362506,0.214
4423.38462460609,0.215
4432.78327320298,0.216
4437.97990742469,0.217
4442.22974842013,0.218
4450.88948572696,0.219
4459.09262516614,0.22
4461.83826207182,0.221
4471.9742851665,0.222
4480.74261863241,0.223
4487.53124597308,0.224
4488.8045944811,0.225
4495.24099456599,0.226
4505.64101182268,0.227
4511.61268398388,0.228
4516.35829398352,0.229
4527.06509719785,0.23
4533.65194018161,0.231
4539.4972686055,0.232
