meannh,cum.prob
1502.72030757362,0.001
1571.3081663684,0.002
1668.14130041705,0.003
1701.50294523903,0.004
1736.91441321187,0.005
1791.99731719675,0.006
1825.12805010112,0.007
1850.91363542374,0.008
1858.31906865062,0.009
1880.11524629243,0.01
1910.05538235368,0.011
1935.76787272338,0.012
1952.98419036166,0.013
1975.74467400784,0.014
1982.08676136698,0.015
2007.15780523835,0.016
2020.78680342843,0.017
2039.29326288594,0.018
2055.97475307531,0.019
2062.62868536678,0.02
2086.19168812253,0.021
2093.84239764935,0.022
2112.55219122465,0.023
2119.59728102819,0.024
2132.16749058013,0.025
2151.69081811114,0.026
2155.03020436085,0.027
2166.34612382061,0.028
2179.06816456473,0.029
2189.73294163269,0.03
2201.31134094841,0.031
2217.37124844679,0.032
2227.21676810861,0.033
2237.42986546218,0.034
2244.82949222115,0.035
2254.40364296827,0.036
2260.44681760685,0.037
2276.74380354272,0.038
2279.43337522911,0.039
2287.516111384,0.04
2301.08077680587,0.041
2308.78431893972,0.042
2319.33679374412,0.043
2323.13327033228,0.044
2336.66588004451,0.045
2347.68409692951,0.046
2353.85482384445,0.047
2357.78221098921,0.048
2366.56553114583,0.049
2380.65880256437,0.05
2385.96903637569,0.051
2390.86141855776,0.052
2396.84369793082,0.053
2406.11589660346,0.054
2413.85342086545,0.055
2422.13771256823,0.056
2431.02841926014,0.057
2434.80027634598,0.058
2443.72255712097,0.059
2452.55699890172,0.06
2456.83757563781,0.061
2465.92930355403,0.062
2472.85807467551,0.063
2482.27249630221,0.064
2485.01428941446,0.065
2492.68795274362,0.066
2504.02528305773,0.067
2508.93866621829,0.068
2517.61946537473,0.069
2519.65048528127,0.07
2526.87101581465,0.071
2535.84167556159,0.072
2538.13025167292,0.073
2545.92244066423,0.074
2552.95646551376,0.075
2560.75663567256,0.076
2564.56068649861,0.077
2572.17157997156,0.078
2580.81903287662,0.079
2587.71418601202,0.08
2592.74410557612,0.081
2600.55822485567,0.082
2603.11077515113,0.083
2607.98772180252,0.084
2617.30407260345,0.085
2623.68749244213,0.086
2627.90596050114,0.087
2633.69623322723,0.088
2636.82411613264,0.089
2643.02014168034,0.09
2654.25602954397,0.091
2654.67956277141,0.092
2660.3052850427,0.093
2668.90169305386,0.094
2673.41458275893,0.095
2679.90826761938,0.096
2688.25608299808,0.097
2693.9520840697,0.098
2694.69000350998,0.099
2704.88083539371,0.1
2705.60623087401,0.101
2714.76409078198,0.102
2720.12000175865,0.103
2724.17621214425,0.104
2730.59574687289,0.105
2734.844214386,0.106
2741.2430183965,0.107
2744.26536920458,0.108
2749.92094099175,0.109
2756.74430321157,0.11
2762.44264120192,0.111
